"doc_id","doc_type","title","citation","court","bench","year","primary_article","secondary_articles","legal_topics","url","content"
"art_012","constitutional_article","Article 12: Definition of 'State'","Art. 12, Constitution of India","Constituent Assembly of India","Constituent Assembly Drafting Committee (Dr. B.R. Ambedkar)","1950","Article 12","Part III, Article 13, Article 32, Article 226","Definition of State, Fundamental Rights, Government of India, Parliament, Local Authorities, Other Authorities, Instrumentality or Agency of State","https://indiankanoon.org/doc/609139/","LANDMARK PRINCIPLE: Definition of 'State' for Fundamental Rights Enforcement under Part III.

CONSTITUTIONAL PROVISION:
In this Part, unless the context otherwise requires, 'the State' includes the Government and Parliament of India and the Government and the Legislature of each of the States and all local or other authorities within the territory of India or under the control of the Government of India.

LEGAL ANALYSIS AND SCOPE:
Article 12 defines the entity against which fundamental rights guaranteed by Part III of the Constitution can be enforced. The term 'State' encompasses four distinct tiers: (1) The Central Executive and Parliament of India; (2) The State Executives and Legislatures; (3) Local authorities such as Municipalities, Panchayats, District Boards, and Port Trusts (as defined under Section 3(31) of the General Clauses Act, 1897); and (4) 'Other authorities within the territory of India or under the control of the Government of India'. Through expansive constitutional interpretation in landmark judgments like Sukhdev Singh v. Bhagatram, Ramana Dayaram Shetty v. International Airport Authority of India (1979), and Ajay Hasia v. Khalid Mujib Sehravardi (1981), the Supreme Court laid down the cumulative 'deep and pervasive state control' test. Under this doctrine, statutory corporations, government-owned companies, and registered societies (such as CSIR, FCI, and ONGC) qualify as instrumentalities or agencies of the State, making their administrative, regulatory, and commercial actions subject to writ jurisdiction and fundamental rights scrutiny under Articles 14, 19, and 21."
"art_013","constitutional_article","Article 13: Laws Inconsistent with or in Derogation of Fundamental Rights","Art. 13, Constitution of India","Constituent Assembly of India","Constituent Assembly Drafting Committee (Dr. B.R. Ambedkar)","1950","Article 13","Article 32, Article 226, Article 368","Judicial review, void laws, pre-constitutional laws, post-constitutional laws, doctrine of severability, doctrine of eclipse, constitutional amendments","https://indiankanoon.org/doc/134715/","LANDMARK PRINCIPLE: Foundation of Judicial Review and Constitutional Invalidity of Inconsistent Laws.

CONSTITUTIONAL PROVISION:
13(1) All laws in force in the territory of India immediately before the commencement of this Constitution, in so far as they are inconsistent with the provisions of this Part, shall, to the extent of such inconsistency, be void.
13(2) The State shall not make any law which takes away or abridges the rights conferred by this Part and any law made in contravention of this clause shall, to the extent of the contravention, be void.
13(3) In this article, unless the context otherwise requires, 'law' includes any Ordinance, order, bye-law, rule, regulation, notification, custom or usages having in the territory of India the force of law.
13(4) Nothing in this article shall apply to any amendment of this Constitution made under article 368.

LEGAL ANALYSIS AND DOCTRINES:
Article 13 serves as the primary constitutional vehicle for judicial review in India. It establishes the supremacy of Fundamental Rights over both pre-constitutional statutes (Clause 1) and post-constitutional enactments (Clause 2). The Supreme Court developed crucial constitutional doctrines around Article 13: (a) The Doctrine of Severability (AK Gopalan, RMDC)—if valid statutory provisions can be separated from invalid ones, only the offending portion is void; (b) The Doctrine of Eclipse (Bhikaji Narain Dhakras v. State of MP)—pre-constitutional laws inconsistent with fundamental rights do not become dead letters, but remain dormant (eclipsed) until a constitutional amendment removes the shadow; and (c) The Doctrine of Waiver (Basheshar Nath v. CIT)—citizens cannot waive their Fundamental Rights because they are established as constitutional public policy. The historic debate between Article 13(2) and Article 368 regarding whether a constitutional amendment is a 'law' was reconciled in Kesavananda Bharati (1973), establishing that while amendments are constituent power, they cannot abrogate the basic structure."
"art_014","constitutional_article","Article 14: Equality Before Law & Equal Protection of the Laws","Art. 14, Constitution of India","Constituent Assembly of India","Constituent Assembly Drafting Committee (Dr. B.R. Ambedkar)","1950","Article 14","Article 15, Article 16, Article 19, Article 21","Right to Equality, Equality before law, Equal protection of laws, Reasonable classification, Non-arbitrariness, Rule of law, Manifest arbitrariness","https://indiankanoon.org/doc/367586/","LANDMARK PRINCIPLE: Universal Right to Equality, Reasonable Classification, and Anti-Arbitrariness.

CONSTITUTIONAL PROVISION:
The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India.

LEGAL ANALYSIS AND DOCTRINAL TESTS:
Article 14 combines two foundational concepts: (1) 'Equality before the law', derived from the English Common Law Rule of Law (Dicey), a negative concept establishing that no person is above the law and all classes are equally subject to ordinary jurisdiction; and (2) 'Equal protection of the laws', derived from the 14th Amendment of the US Constitution, a positive concept mandating equal treatment under equal circumstances. The interpretation of Article 14 has evolved through two distinct doctrinal eras:
1. Traditional Reasonable Classification Doctrine (State of West Bengal v. Anwar Ali Sarkar, 1952): Classification is valid if (a) it is founded on intelligible differentia distinguishing persons or things grouped together from others left out, and (b) the differentia has a rational nexus to the legislative object sought to be achieved.
2. Dynamic Non-Arbitrariness Doctrine (E.P. Royappa, Maneka Gandhi, Ajay Hasia): Equality is dynamic and antithetical to arbitrariness. State action that is arbitrary, whimsical, or devoid of reason violates Article 14 per se.
3. Doctrine of Manifest Arbitrariness (Shayara Bano v. Union of India, 2017): Plenary legislation can be struck down under Article 14 if it is capricious, irrational, lacks determining principle, or is excessive and disproportionate."
"art_015","constitutional_article","Article 15: Prohibition of Discrimination on Grounds of Religion, Race, Caste, Sex or Place of Birth","Art. 15, Constitution of India","Constituent Assembly of India","Constituent Assembly Drafting Committee (Dr. B.R. Ambedkar)","1950","Article 15","Article 14, Article 16, Article 21, Article 29","Non-discrimination, affirmative action, special provisions for women and children, socially and educationally backward classes, EWS reservations","https://indiankanoon.org/doc/609295/","LANDMARK PRINCIPLE: Specific Guarantee Against Discrimination and Affirmative Action.

CONSTITUTIONAL PROVISION:
15(1) The State shall not discriminate against any citizen on grounds only of religion, race, caste, sex, place of birth or any of them.
15(2) No citizen shall, on grounds only of religion, race, caste, sex, place of birth or any of them, be subject to any disability, liability, restriction or condition regarding access to shops, public restaurants, hotels, or use of wells, tanks, bathing ghats, roads, and places of public resort maintained wholly or partly out of State funds or dedicated to the use of the general public.
15(3) Nothing in this article shall prevent the State from making any special provision for women and children.
15(4) Special provision for advancement of any socially and educationally backward classes (SEBC) or SC/ST (added by 1st Amendment, 1951).
15(5) Special provision for admission to educational institutions, including private institutions whether aided or unaided (added by 93rd Amendment, 2005).
15(6) Special provision for economically weaker sections (EWS) up to 10% (added by 103rd Amendment, 2019).

LEGAL ANALYSIS:
Article 15 is a specific facet of Article 14's general guarantee of equality. Crucially, the presence of the word 'only' in Article 15(1) signifies that if discrimination is based on other relevant criteria in addition to sex, caste, or religion (e.g., physical capacity, economic hardship), the measure does not violate Article 15(1). Clauses (3), (4), (5), and (6) are not exceptions to the equality principle, but substantive equality mechanisms enabling protective discrimination for marginalized demographics (Indra Sawhney, Janhit Abhiyan)."
"art_016","constitutional_article","Article 16: Equality of Opportunity in Matters of Public Employment","Art. 16, Constitution of India","Constituent Assembly of India","Constituent Assembly Drafting Committee (Dr. B.R. Ambedkar)","1950","Article 16","Article 14, Article 15, Article 335","Public employment, reservations, backward classes, creamy layer, 50% ceiling rule, carry forward rule, promotions, EWS","https://indiankanoon.org/doc/211089/","LANDMARK PRINCIPLE: Equality in Public Employment and Constitutional Framework for Reservations.

CONSTITUTIONAL PROVISION:
16(1) Equality of opportunity for all citizens in matters relating to employment or appointment to any office under the State.
16(2) Prohibition of discrimination on grounds only of religion, race, caste, sex, descent, place of birth, residence, or any of them.
16(3) Parliamentary law prescribing residence requirements within a State or Union Territory.
16(4) Provision for reservation of appointments or posts in favor of any backward class of citizens not adequately represented in the services under the State.
16(4A) Reservation in matters of promotion with consequential seniority for Scheduled Castes and Scheduled Tribes (77th & 85th Amendments).
16(4B) Carry-forward of unfilled vacancies without exceeding the 50% ceiling on aggregate vacancies of that year (81st Amendment).
16(6) Reservation for Economically Weaker Sections (EWS) up to 10% in public appointments (103rd Amendment).

LEGAL ANALYSIS:
Article 16 governs equal opportunity in public service. In Indra Sawhney (1992), the 9-Judge Bench held that Article 16(4) is an emphatic restatement of substantive equality under Article 16(1), not an exception. Key constitutional limits include: (a) 50% vertical reservation ceiling; (b) exclusion of the 'creamy layer' from OBC reservations; (c) backwardness must be social and educational, not purely economic; and (d) administrative efficiency under Article 335 must be preserved."
"art_017","constitutional_article","Article 17: Abolition of Untouchability","Art. 17, Constitution of India","Constituent Assembly of India","Constituent Assembly Drafting Committee (Dr. B.R. Ambedkar)","1950","Article 17","Article 15(2), Article 21, Article 35","Abolition of Untouchability, Protection of Civil Rights Act 1955, SC/ST Prevention of Atrocities Act 1989, absolute fundamental right, horizontal enforcement against private individuals","https://indiankanoon.org/doc/1547842/","LANDMARK PRINCIPLE: Absolute Prohibition of Untouchability and Direct Horizontal Rights Enforcement.

CONSTITUTIONAL PROVISION:
'Untouchability' is abolished and its practice in any form is forbidden. The enforcement of any disability arising out of 'Untouchability' shall be an offence punishable in accordance with law.

LEGAL ANALYSIS:
Article 17 is one of the rare self-executing Fundamental Rights in the Indian Constitution that operates horizontally against private citizens, not merely vertically against the State (People's Union for Democratic Rights v. Union of India, 1982). The Constitution does not define 'untouchability'; the Mysore High Court in Devarajiah v. Padmanna (1958) clarified that the word refers to the social disability historically imposed on certain classes of people by reason of their birth in specific castes, rather than literal physical touch. Parliament enacted the Protection of Civil Rights Act, 1955 and the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act, 1989 pursuant to powers under Article 35(a)(ii) to give teeth to Article 17's mandate."
"art_018","constitutional_article","Article 18: Abolition of Titles","Art. 18, Constitution of India","Constituent Assembly of India","Constituent Assembly Drafting Committee (Dr. B.R. Ambedkar)","1950","Article 18","Article 14, Preamble (Equality of Status)","Abolition of Titles, National Awards, Bharat Ratna, Padma Vibhushan, aristocratic distinctions, republican democracy","https://indiankanoon.org/doc/1712542/","LANDMARK PRINCIPLE: Abolition of Feudal and Aristocratic Distinctions in a Republican Democracy.

CONSTITUTIONAL PROVISION:
18(1) No title, not being a military or academic distinction, shall be conferred by the State.
18(2) No citizen of India shall accept any title from any foreign State.
18(3) No person who is not a citizen of India shall, while holding any office of profit or trust under the State, accept without the consent of the President any title from any foreign State.
18(4) No person holding any office of profit or trust under the State shall, without the consent of the President, accept any present, emolument, or office of any kind from or under any foreign State.

LEGAL ANALYSIS:
In Balaji Raghavan v. Union of India (1996), a Constitution Bench upheld the validity of National Awards (Bharat Ratna, Padma Vibhushan, Padma Bhushan, Padma Shri), holding that they do not constitute prohibited 'titles' within the meaning of Article 18. The court observed that Article 18 seeks to prevent the creation of a titled aristocracy and hereditary privileges antithetical to republican equality, but does not preclude recognition of noble deeds, merit, or public service. However, the court strictly mandated that recipients must not use these honors as prefixes or suffixes to their names."
"art_019","constitutional_article","Article 19: Protection of Certain Rights Regarding Freedom of Speech, etc.","Art. 19, Constitution of India","Constituent Assembly of India","Constituent Assembly Drafting Committee (Dr. B.R. Ambedkar)","1950","Article 19","Article 14, Article 21, Article 358","Six Freedoms, Freedom of Speech and Expression, Assembly, Association, Movement, Residence, Trade and Profession, Reasonable Restrictions, Proportionality, Internet rights","https://indiankanoon.org/doc/1218090/","LANDMARK PRINCIPLE: Foundational Civil Liberties and Doctrine of Reasonable Restrictions.

CONSTITUTIONAL PROVISION:
19(1) All citizens shall have the right:
(a) to freedom of speech and expression;
(b) to assemble peaceably and without arms;
(c) to form associations or unions or co-operative societies;
(d) to move freely throughout the territory of India;
(e) to reside and settle in any part of the territory of India;
(g) to practise any profession, or to carry on any occupation, trade or business.

REASONABLE RESTRICTIONS:
19(2) Speech restrictions: sovereignty and integrity of India, security of the State, friendly relations with foreign States, public order, decency or morality, contempt of court, defamation, or incitement to an offence.
19(3)-(6) Restrictions on other freedoms in interests of sovereignty, integrity, public order, and general public.

LEGAL ANALYSIS:
Article 19 guarantees core democratic freedoms exclusively to Indian citizens. Restrictions imposed under clauses (2) to (6) must satisfy three mandatory constitutional tests: (1) Must be enacted by authority of law (not mere executive fiat); (2) Must fall strictly within the enumerated grounds of restrictions; and (3) Must be 'reasonable', adhering to the four-pronged test of proportionality (Modern Dental College, Anuradha Bhasin). The Supreme Court has expanded Article 19(1)(a) to encompass freedom of the press (Romesh Thappar, Bennett Coleman), right to commercial speech (Tata Press), right to information and voters' right to know (ADR), and freedom of speech over the internet (Shreya Singhal, Anuradha Bhasin)."
"art_020","constitutional_article","Article 20: Protection in Respect of Conviction for Offences","Art. 20, Constitution of India","Constituent Assembly of India","Constituent Assembly Drafting Committee (Dr. B.R. Ambedkar)","1950","Article 20","Article 21, Article 359, Code of Criminal Procedure","Ex post facto law, double jeopardy, protection against self-incrimination, non-suspendable right, narco-analysis, polygraph","https://indiankanoon.org/doc/655638/","LANDMARK PRINCIPLE: Fundamental Safeguards in Criminal Jurisprudence (Non-Suspendable under Emergency).

CONSTITUTIONAL PROVISION:
20(1) No person shall be convicted of any offence except for violation of a law in force at the time of the commission of the act charged as an offence, nor be subjected to a penalty greater than that which might have been inflicted under the law in force at the time of the commission of the offence.
20(2) No person shall be prosecuted and punished for the same offence more than once (Double Jeopardy).
20(3) No person accused of any offence shall be compelled to be a witness against himself (Self-Incrimination).

LEGAL ANALYSIS:
Following the 44th Constitutional Amendment (1978), Article 20 cannot be suspended even during a National Emergency proclaimed under Article 352. Clause (1) prohibits retrospective criminalization and retrospective enhancement of penalties (Kedar Nath v. State of West Bengal), though it does not prohibit retrospective reduction of penalty (Rattan Lal v. State of Punjab). Clause (2) incorporates the doctrine of autrefois convict—prohibiting repeated prosecution and punishment before a court of law for the same identical offence (Maqbool Hussain v. State of Bombay). Clause (3) grants the right to silence and immunity from testimonial compulsion. In Selvi v. State of Karnataka (2010), the Supreme Court ruled that involuntary administration of narco-analysis, polygraph tests, and brain-mapping violates Article 20(3) as well as the right to privacy under Article 21."
"art_021","constitutional_article","Article 21: Protection of Life and Personal Liberty","Art. 21, Constitution of India","Constituent Assembly of India","Constituent Assembly Drafting Committee (Dr. B.R. Ambedkar)","1950","Article 21","Article 14, Article 19, Article 20, Article 22, Article 359","Right to Life, Personal Liberty, Procedure established by law, Substantive due process, Golden Triangle, Right to Privacy, Dignity, Livelihood, Speedy Trial, Medical Care","https://indiankanoon.org/doc/1199182/","LANDMARK PRINCIPLE: Sacrosanct Heart of Fundamental Rights, Human Dignity, and Due Process of Law.

CONSTITUTIONAL PROVISION:
No person shall be deprived of his life or personal liberty except according to procedure established by law.

LEGAL ANALYSIS AND EXPANSIVE JURISPRUDENCE:
Article 21 protects every person (citizens and non-citizens alike) against arbitrary deprivation of life or personal liberty. Initially given a narrow, positivist reading in A.K. Gopalan (1950), Article 21 underwent a constitutional revolution in Maneka Gandhi v. Union of India (1978). The Supreme Court read 'procedure established by law' as requiring that any law depriving personal liberty must not be arbitrary, fanciful, or oppressive, but must be 'just, fair, and reasonable', effectively importing American substantive due process into Indian constitutionalism. Through the Golden Triangle doctrine (interconnection between Articles 14, 19, and 21), the court held that any statutory restriction under Article 21 must also withstand the equality and non-arbitrariness tests of Article 14 and the reasonableness tests of Article 19. Through decades of progressive judicial interpretation, 'life' has been held to mean far more than mere animal existence (Francis Coralie), encompassing:
• Right to human dignity (Francis Coralie Mullin, 1981)
• Right to livelihood and shelter (Olga Tellis, 1985)
• Right to privacy as an intrinsic fundamental right (K.S. Puttaswamy, 2017)
• Right to speedy trial and legal aid (Hussainara Khatoon, Khatri)
• Right against torture and custodial violence (D.K. Basu, Sunil Batra)
• Right to clean environment and pollution-free water/air (M.C. Mehta)
• Right to emergency medical care (Parmanand Katara)
• Right to die with dignity and passive euthanasia (Common Cause, Aruna Shanbaug)
• Right to bodily autonomy and sexual orientation (Navtej Johar, Joseph Shine)."
