case_name,url,verdict_summary
Article 21 in Constitution of India,https://www.indiankanoon.org/doc/1199182/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Constitution,https://www.indiankanoon.org/doc/237570/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Article 14 in Constitution of India,https://www.indiankanoon.org/doc/367586/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Constitution,https://www.indiankanoon.org/doc/237570/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
"Siddharam Satlingappa Mhetre vs State Of Maharashtra And Ors on 2 December, 2010",https://www.indiankanoon.org/docfragment/1108032/?formInput=Article%2021," 64. In Kharak Singh v. State of U.P. and Others AIR 1963

SC 1295, Subba Rao, J. defined `personal liberty, as a right of an

individual to be free from restrictions or encroachment on his

person whether these are directly imposed or indirectly brought

about by calculated measure.      The court held that `personal

liberty' in Article 21 includes all varieties of freedoms except

those included in Article 19.  65. In Maneka Gandhi v. Union of India and Another (1978)

1 SCC 248, this court expanded the scope of the expression

`personal liberty' as used in Article 21 of the Constitution of

India.     The court rejected the argument that the expression

`personal liberty' must be so interpreted as to avoid overlapping

between Article 21 and Article 19(1). It was observed:    ""The

expression `personal liberty' in Article 21 is of the widest

amplitude and it covers a variety of rights which go to constitute

the personal liberty of a man and some of them have been raised

to the status of distinct fundamental rights and given additional

protection under Article 19."" So, the phrase `personal liberty' is


very wide and includes all possible rights which go to constitute

personal liberty, including those which are mentioned in Article 71.   The object of Article 21 is to prevent encroachment upon

personal liberty in any manner. Article 21 is repository of all

human rights essentially for a person or a citizen. A fruitful and

meaningful life presupposes full of dignity, honour, health and

welfare. In the modern ""Welfare Philosophy"", it is for the State to

ensure these essentials of life to all its citizens, and if possible to

non-citizens. While invoking the provisions of Article 21 , and by

referring to the oft-quoted statement of Joseph Addision, ""Better

to die ten thousand deaths than wound my honour"", the Apex

court in Khedat Mazdoor Chetana Sangath v. State of M.P.

and Others (1994) 6 SCC 260 posed to itself a question ""If

dignity or honour vanishes what remains of life""?         This is the

significance of the Right to Life and Personal Liberty guaranteed

under the Constitution of India in its third part. "
Article 14 in Constitution of India,https://www.indiankanoon.org/doc/367586/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Constitution,https://www.indiankanoon.org/doc/237570/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
"Section 377 in The Indian Penal Code, 1860",https://www.indiankanoon.org/doc/1836974/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Entire Act,https://www.indiankanoon.org/doc/1569253/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
"Secretary, State Of Karnataka And ... vs Umadevi And Others on 10 April, 2006",https://www.indiankanoon.org/docfragment/179794777/?formInput=Article%2014,"32.		At this stage, it is relevant to notice two aspects. In Kesavananda Bharati Vs. State of Kerala (1973 Supp. S.C.R. 1), this 
Court held that Article 14 , and Article 16 , which was described as a facet of Article 14 , is part of the basic structure of the Constitution of India. The 
position emerging from Kesavananada Bharati (supra) was summed up by 
Jagannatha Rao, J., speaking for a Bench of three Judges in Indira Sawhney 
Vs. Union of India (1999 Suppl. (5) S.C.R. 229).  That decision also 
reiterated how neither the Parliament nor the Legislature could transgress the 
basic feature of the Constitution, namely, the principle of equality enshrined 
in Article 14 of which Article 16 (1) is a facet.  This Court stated, "" 33. In the earlier decision in Indra Sawhney Vs. Union of India [1992 Supp. (2) S.C.R. 454), B.P. Jeevan Reddy, J. speaking for the 
majority, while acknowledging that equality and equal opportunity is a basic 
feature of our Constitution, has explained the exultant  position of Articles 14 and 16 of the Constitution of India in the scheme of things.  His Lordship 
stated:- Thus, it is clear that adherence to the rule of equality in public employment 
is a basic feature of our Constitution and since the rule of law is the core of 
our Constitution, a Court would certainly be disabled from passing an order 
upholding a violation of Article 14 or in ordering the overlooking of the 
need to comply with the requirements of Article 14 read with Article 16 of 
the Constitution.  Therefore, consistent with the scheme for public 
employment, this Court while laying down the law, has necessarily to hold 
that unless the appointment is in terms of the relevant rules and after a 
proper competition among qualified persons, the same would not confer any 
right on the appointee.  If it is a contractual appointment, the appointment 
comes to an end at the end of the contract, if it were an engagement or 
appointment on daily wages or casual basis, the same would come to an end 
when it is discontinued.  Similarly, a temporary employee could not claim to 
be made permanent on the expiry of his term of appointment.  It has also to 
be clarified that merely because a temporary employee or a casual wage 
worker is continued for a time beyond the term of his appointment, he would 
not be entitled to be absorbed in regular service or made permanent, merely 
on the strength of such continuance, if the original appointment was not 
made by following a due process of selection as envisaged by the relevant 
rules.  It is not open to the court to prevent regular recruitment at the 
instance of temporary employees whose period of employment has come to 
an end or of ad hoc employees who by the very nature of their appointment, 
do not acquire any right.  High Courts acting under Article 226 of the 
Constitution of India, should not ordinarily issue directions for absorption, 
regularization, or permanent continuance unless the recruitment itself was 
made regularly and in terms of the constitutional scheme.  Merely because, 
an employee had continued under cover of an order of Court, which we have 
described as 'litigious employment' in the earlier part of the judgment, he 
would not be entitled to any right to be absorbed or made permanent in the 
service.  In fact, in such cases, the High Court may not be justified in issuing 
interim directions, since, after all, if ultimately the employee approaching it 
is found entitled to relief, it may be possible for it to mould the relief in such 
a manner that ultimately no prejudice will be caused to him, whereas an 
interim direction to continue his employment would hold up the regular 
procedure for selection or impose on the State the burden of paying an 
employee who is really not required.  The courts must be careful in ensuring 
that they do not interfere unduly with the economic arrangement of its 
affairs by the State or its instrumentalities or lend themselves the instruments"
